Year,cumulative_new_species,new_species
1767,2,2
1777,4,2
1779,6,2
1780,8,2
1781,9,1
1789,11,2
1790,16,5
1794,18,2
1798,19,1
1800,21,2
1801,22,1
1802,28,6
1803,29,1
1809,42,13
1819,93,51
1824,94,1
1829,100,6
1833,101,1
1834,102,1
1836,103,1
1839,104,1
1840,107,3
1841,109,2
1842,110,1
1844,111,1
1845,136,25
1846,139,3
1848,142,3
1849,143,1
1851,156,13
1853,158,2
1854,159,1
1855,165,6
1856,168,3
1858,181,13
1859,186,5
1860,188,2
1861,195,7
1863,224,29
1865,288,64
1866,294,6
1867,297,3
1868,298,1
1869,305,7
1870,334,29
1871,344,10
1873,347,3
1874,373,26
1875,381,8
1876,402,21
1877,403,1
1878,409,6
1880,423,14
1881,427,4
1882,429,2
1883,430,1
1884,431,1
1885,434,3
1886,436,2
1888,454,18
1889,470,16
1890,484,14
1891,489,5
1892,492,3
1893,509,17
1894,535,26
1895,537,2
1896,546,9
1897,550,4
1898,569,19
1899,579,10
1900,584,5
1901,603,19
1902,610,7
1903,620,10
1904,627,7
1905,638,11
1906,648,10
1907,678,30
1908,683,5
1909,685,2
1910,688,3
1911,692,4
1912,719,27
1913,727,8
1914,799,72
1915,814,15
1916,903,89
1917,909,6
1918,1019,110
1919,1023,4
1920,1146,123
1921,1187,41
1922,1294,107
1923,1311,17
1924,1332,21
1925,1344,12
1926,1387,43
1927,1483,96
1928,1549,66
1929,1673,124
1930,1760,87
1931,1806,46
1932,1962,156
1933,2094,132
1934,2134,40
1935,2266,132
1936,2309,43
1937,2328,19
1938,2352,24
1939,2376,24
1940,2409,33
1941,2441,32
1942,2488,47
1943,2528,40
1944,2532,4
1945,2554,22
1946,2619,65
1947,2705,86
1948,2712,7
1949,2727,15
1950,2831,104
1951,2979,148
1952,3047,68
1953,3198,151
1954,3370,172
1955,3418,48
1956,3628,210
1957,3709,81
1958,3771,62
1959,4087,316
1960,4114,27
1961,4212,98
1962,4255,43
1963,4354,99
1964,4413,59
1965,4456,43
1966,4523,67
1967,4649,126
1968,4691,42
1969,4773,82
1970,4951,178
1971,5104,153
1972,5229,125
1973,5361,132
1974,5466,105
1975,5548,82
1976,5638,90
1977,5737,99
1978,5828,91
1979,5872,44
1980,5925,53
1981,6007,82
1982,6081,74
1983,6134,53
1984,6200,66
1985,6283,83
1986,6336,53
1987,6410,74
1988,6477,67
1989,6552,75
1990,6594,42
1991,6648,54
1992,6702,54
1993,6835,133
1994,6874,39
1995,6921,47
1996,6947,26
1997,6981,34
1998,7023,42
1999,7053,30
2000,7087,34
2001,7111,24
2002,7145,34
2003,7163,18
2004,7206,43
2005,7256,50
2006,7345,89
2007,7400,55
2008,7460,60
2009,7546,86
2010,7611,65
2011,7673,62
2012,7752,79
2013,7841,89
2014,7953,112
2015,8051,98
2016,8136,85
2017,8221,85
2018,8288,67
2019,8362,74
2020,8444,82
2021,8494,50
2022,8519,25
2023,8530,11
