species	fig_associated	note
Paragordius_varius_PRJEB19315	no	
Gordius_sp_PRJNA533925	no	
Nectonema_munidae_PRJNA523701	no	
Priapulus_caudatus_GCF000485595	no	
Ascaris_suum_PRJNA62057	no	
Parascaris_univalens_PRJNA386823	no	
Toxocara_canis_PRJNA304497	no	
Hysterothylacium_aduncum_PRJNA601087	no	
Anisakis_simplex_PRJNA374530	no	
Anisakis_simplex_PRJEB496	no	
Dracunculus_medinensis_PRJEB500	no	
Thelazia_callipaeda_PRJEB1205	no	
Setaria_digitata_PRJEB13338	no	
Acanthocheilonema_viteae_PRJEB1697	no	
Gongylonema_pulchrum_PRJEB505	no	
Syphacia_muris_PRJEB524	no	
Enterobius_vermicularis_PRJEB503	no	
Gnathostoma_spinigerum_PRJNA502990	no	
Anguillicola_crassus_PRJNA81117	no	
Scottnema_lindsayae_PRJNA437994	no	
Acrobeloides_nanus_PRJEB26554	no	
Panagrellus_redivivus_PRJNA186477	no	
Panagrolaimus_sp_ES5_PRJEB32708	no	
Panagrolaimus_superbus_PRJEB32708	no	
Panagrolaimus_sp_DL0137_PRJNA374706	no	
Panagrolaimus_davidi_PRJNA247454	no	
Panagrolaimus_davidi_PRJEB32708	no	
Panagrolaimus_sp_PS1579_PRJEB32708	no	
Panagrolaimus_sp_PS1159_PRJEB32708	no	
Halicephalobus_mephisto_PRJNA528747	no	
Halicephalobus_sp_PRJNA555616	no	
Propanagrolaimus_sp_JU765_PRJEB32708	no	
Aphelenchus_avenae_PRJNA236622	no	
Ditylenchus_destructor_PRJNA312427	no	
Ficotylus_congestae	yes	
Subanguina_moxae_PRJDB3461	no	
Ditylenchus_dipsaci_PRJNA498219	no	
Deladenus_siricidicola_PRJNA46301	no	
Deladenus_siricidicola_PRJNA507701	no	
Radopholus_similis_PRJNA427497	no	
Radopholus_similis_PRJNA522283	no	
Radopholus_similis_V_PRJNA541590	no	
Radopholus_similis_D_PRJNA541590	no	
Rotylenchulus_reniformis_PRJNA214681	no	
Heterodera_glycines_PRJNA535374	no	
Heterodera_glycines_PRJNA381081	no	
Heterodera_glycines_PRJNA415980	no	
Heterodera_schachtii_PRJNA506892	no	
Heterodera_schachtii_PRJNA234080	no	
Heterodera_avenae_PRJEB5256	no	
Globodera_rostochiensis_PRJEB13504	no	
Globodera_ellingtonae_PRJNA308318	no	
Globodera_pallida_PRJEB123	no	
Pratylenchus_penetrans_PRJNA304159	no	
Pratylenchus_coffeae_PRJNA276478	no	
Pratylenchus_coffeae_PRJNA79895	no	
Pratylenchus_zeae_PRJNA268047	no	
Meloidogyne_enterobii_PRJNA340324	no	
Meloidogyne_javanica_PRJNA340324	no	
Meloidogyne_arenaria_PRJNA340324	no	
Meloidogyne_luci_PRJEB27977	no	
Meloidogyne_incognita_PRJEA28837	no	
Meloidogyne_floridensis_PRJNA340324	no	
Meloidogyne_incognita_PRJNA340324	no	
Meloidogyne_hapla_PRJNA29083	no	
Meloidogyne_graminicola_PRJNA411966	no	
Nacobbus_aberrans_PRJEB6762	no	
Aphelenchoides_fragariae_PRJNA233627	no	
Schistonchus_laevigatus	yes	
EU038299.2_Schistonchus_sp._579s1	yes	
Ficophagus_auriculatae_isolate_YN023	yes	
Ficophagus_sp._4_NK-2021_FsurFico	yes	
Ficophagus_sp._6_NK-2021_NZW22	yes	
Ficophagus_sp._7_NK-2021_NZW212	yes	
Schistonchus_guangzhouensis	yes	
Schistonchus_sp._1_WY-2013_voucher_SF2012	yes	
Schistonchus_sp._5068	yes	
Schistonchus_sp._ex_Ficus_superba_YZ-2010_isolate_Sw10	yes	
